00000001	0005F3E0	0000	000B22A6	BCryptAddContextFunctionProvider
00000002	0002BBD0	0001	000B22C7	BCryptCloseAlgorithmProvider
00000003	0000D720	0002	000B22E4	BCryptCreateHash
00000004	00050560	0003	000B22F5	BCryptCreateMultiHash
00000005	0001DD70	0004	000B230B	BCryptDecrypt
00000006	00050770	0005	000B2319	BCryptDeriveKey
00000007	00050940	0006	000B2329	BCryptDeriveKeyCapi
00000008	00050D60	0007	000B233D	BCryptDeriveKeyPBKDF2
00000009	0000D3B0	0008	000B2353	BCryptDestroyHash
0000000A	0000CBF0	0009	000B2365	BCryptDestroyKey
0000000B	00051020	000A	000B2376	BCryptDestroySecret
0000000C	0000D270	000B	000B238A	BCryptDuplicateHash
0000000D	00006E30	000C	000B239E	BCryptDuplicateKey
0000000E	0001DC20	000D	000B23B1	BCryptEncrypt
0000000F	00051110	000E	000B23BF	BCryptEnumAlgorithms
00000010	000514E0	000F	000B23D4	BCryptEnumProviders
00000011	00051770	0010	000B23E8	BCryptExportKey
00000012	00051AE0	0011	000B23F8	BCryptFinalizeKeyPair
00000013	0000D470	0012	000B240E	BCryptFinishHash
00000014	0002C110	0013	000B241F	BCryptFreeBuffer
00000015	0000D640	0014	000B2430	BCryptGenRandom
00000016	00051BC0	0015	000B2440	BCryptGenerateKeyPair
00000017	0000CA80	0016	000B2456	BCryptGenerateSymmetricKey
00000018	00023720	0017	000B2471	BCryptGetFipsAlgorithmMode
00000019	0000DBC0	0018	000B248C	BCryptGetProperty
0000001A	0002C4D0	0019	000B249E	BCryptHash
0000001B	00005B00	001A	000B24A9	BCryptHashData
0000001C	00029EB0	001B	000B24B8	BCryptImportKey
0000001D	0002BE50	001C	000B24C8	BCryptImportKeyPair
0000001E	0000C330	001D	000B24DC	BCryptKeyDerivation
0000001F	0001E7C0	001E	000B24F0	BCryptOpenAlgorithmProvider
00000020	00051D60	001F	000B250C	BCryptProcessMultiOperations
00000021	000607F0	0020	000B2529	BCryptRegisterConfigChangeNotify
00000022	00060820	0021	000B254A	BCryptRegisterProvider
00000023	00008050	0022	000B2561	BCryptResolveProviders
00000024	00051DF0	0023	000B2578	BCryptSecretAgreement
00000025	0001E450	0024	000B258E	BCryptSetProperty
00000026	0002F490	0025	000B25A0	BCryptSignHash
00000027	000615D0	0026	000B25AF	BCryptUnregisterConfigChangeNotify
00000028	000615F0	0027	000B25D2	BCryptUnregisterProvider
00000029	000152F0	0028	000B25EB	BCryptVerifySignature
0000002A	0005BE00	0029	000B2601	CngGetFipsAlgorithmMode
0000002B	00054120	002A	000B2619	EntropyPoolTriggerReseedForIum
0000002C	0000F640	002B	000B2638	EntropyProvideData
0000002D	0002CEC0	002C	000B264B	EntropyRegisterCallback
0000002E	00022370	002D	000B2663	EntropyRegisterSource
0000002F	00022270	002E	000B2679	EntropyUnregisterSource
00000030	00021510	002F	000B2691	SslDecrementProviderReferenceCount
00000031	000211E0	0030	000B26B4	SslDecryptPacket
00000032	000210F0	0031	000B26C5	SslEncryptPacket
00000033	00053B60	0032	000B26D6	SslExportKey
00000034	00053C10	0033	000B26E3	SslExportKeyingMaterial
00000035	00021550	0034	000B26FB	SslFreeObject
00000036	00021390	0035	000B2709	SslImportKey
00000037	00021360	0036	000B2716	SslIncrementProviderReferenceCount
00000038	000212C0	0037	000B2739	SslLookupCipherLengths
00000039	00021480	0038	000B2750	SslLookupCipherSuiteInfo
0000003A	00053D00	0039	000B2769	SslOpenProvider
0000003B	00054640	003A	000B2779	SymCrypt802_11SaeCustomCommitCreate
0000003C	00054940	003B	000B279D	SymCrypt802_11SaeCustomCommitProcess
0000003D	00054E80	003C	000B27C2	SymCrypt802_11SaeCustomDestroy
0000003E	00054F70	003D	000B27E1	SymCrypt802_11SaeCustomInit
0000003F	0000AA80	003E	000B27FD	SystemPrng
