00000001    00042180    0000    000529ED    FltAcknowledgeEcp
00000002    00007DBC    0001    000529FF    FltAcquirePushLockExclusive
00000003    00007890    0002    00052A1B    FltAcquirePushLockExclusiveEx
00000004    00007DF0    0003    00052A39    FltAcquirePushLockShared
00000005    000078D0    0004    00052A52    FltAcquirePushLockSharedEx
00000006    0001602C    0005    00052A6D    FltAcquireResourceExclusive
00000007    00016054    0006    00052A89    FltAcquireResourceShared
00000008    00014A44    0007    00052AA2    FltAdjustDeviceStackSizeForIoRedirection
00000009    00005C20    0008    00052ACB    FltAllocateCallbackData
0000000A    000107F8    0009    00052AE3    FltAllocateCallbackDataEx
0000000B    000092F8    000A    00052AFD    FltAllocateContext
0000000C    0000D630    000B    00052B10    FltAllocateDeferredIoWorkItem
0000000D    00042198    000C    00052B2E    FltAllocateExtraCreateParameter
0000000E    0003185C    000D    00052B4E    FltAllocateExtraCreateParameterFromLookasideList
0000000F    0003180C    000E    00052B7F    FltAllocateExtraCreateParameterList
00000010    00043AA0    000F    00052BA3    FltAllocateFileLock
00000011    0000A7D0    0010    00052BB7    FltAllocateGenericWorkItem
00000012    000165AC    0011    00052BD2    FltAllocatePoolAlignedWithTag
00000013    00014AA0    0012    00052BF0    FltApplyPriorityInfoThread
00000014    00041C30    0013    00052C0B    FltAttachVolume
00000015    00041C60    0014    00052C1B    FltAttachVolumeAtAltitude
00000016    0003CC64    0015    00052C35    FltBuildDefaultSecurityDescriptor
00000017    00045128    0016    00052C57    FltCancelFileOpen
00000018    000169E8    0017    00052C69    FltCancelIo
00000019    0004A27C    0018    00052C75    FltCancellableWaitForMultipleObjects
0000001A    000323B8    0019    00052C9A    FltCancellableWaitForSingleObject
0000001B    00016A04    001A    00052CBC    FltCbdqDisable
0000001C    00016A28    001B    00052CCB    FltCbdqEnable
0000001D    0000E29C    001C    00052CD9    FltCbdqInitialize
0000001E    0000D550    001D    00052CEB    FltCbdqInsertIo
0000001F    00016A54    001E    00052CFB    FltCbdqRemoveIo
00000020    0000D46C    001F    00052D0B    FltCbdqRemoveNextIo
00000021    0002D350    0020    00052D1F    FltCheckAndGrowNameControl
00000022    00043B00    0021    00052D3A    FltCheckLockForReadAccess
00000023    00043B70    0022    00052D54    FltCheckLockForWriteAccess
00000024    00013C50    0023    00052D6F    FltCheckOplock
00000025    00013C8C    0024    00052D7E    FltCheckOplockEx
00000026    00011A50    0025    00052D8F    FltClearCallbackDataDirty
