00000001    0046B238    N/A N/A N/A
00000002    0014C320    N/A N/A N/A
00000003    00122A10    N/A N/A N/A
00000004    000B8EA4    0003    006A8FAF    AlpcGetHeaderSize
00000005    000B8D30    0004    006A8FC1    AlpcGetMessageAttribute
00000006    000B8E4C    0005    006A8FD9    AlpcInitializeMessageAttribute
00000007    0069BFF4    0006    006A8FF8    BgkDisplayCharacter
00000008    0069C0A8    0007    006A900C    BgkGetConsoleState
00000009    0069C0D0    0008    006A901F    BgkGetCursorState
0000000A    0069C0F8    0009    006A9031    BgkSetCursor
0000000B    001BE954    000A    006A903E    CcAddDirtyPagesToExternalCache
0000000C    00081754    000B    006A905D    CcCanIWrite
0000000D    000CC328    000C    006A9069    CcCoherencyFlushAndPurgeCache
0000000E    0049526C    000D    006A9087    CcCopyRead
0000000F    000592F8    000E    006A9092    CcCopyReadEx
00000010    001BF228    000F    006A909F    CcCopyWrite
00000011    000E37AC    0010    006A90AB    CcCopyWriteEx
00000012    0007EACC    0011    006A90B9    CcCopyWriteWontFlush
00000013    001BEA2C    0012    006A90CE    CcDeductDirtyPagesFromExternalCache
00000014    001BF248    0013    006A90F2    CcDeferWrite
00000015    005A6FD0    0014    006A90FF    CcFastCopyRead
00000016    001BF320    0015    006A910E    CcFastCopyWrite
00000017    002E2690    0016    006A911E    CcFastMdlReadWait
00000018    000F9308    0017    006A9130    CcFlushCache
00000019    000FBD58    0018    006A913D    CcFlushCacheToLsn
0000001A    00088A04    0019    006A914F    CcGetDirtyPages
0000001B    001BE8D0    001A    006A915F    CcGetFileObjectFromBcb
0000001C    001BE8E0    001B    006A9176    CcGetFileObjectFromSectionPtrs
0000001D    001247F0    001C    006A9195    CcGetFileObjectFromSectionPtrsRef
0000001E    0007E680    001D    006A91B7    CcGetFlushedValidData
0000001F    001BF8A0    001E    006A91CD    CcGetLsnForFileObject
00000020    00083970    001F    006A91E3    CcInitializeCacheMap
00000021    001BF9D8    0020    006A91F8    CcIsThereDirtyData
00000022    001BFAD8    0021    006A920B    CcIsThereDirtyDataEx
00000023    000F1CE4    0022    006A9220    CcIsThereDirtyLoggedPages
00000024    003AD2B0    0023    006A923A    CcMapData
